reference,lien,nom,Gamme PC,image_url,boutique,Taille de l'écran,Résolution écran,Type de Processeur,processeur,Mémoire,Disque Dur,Type Disque Dur,Réf Carte Graphique,Système d'exploitation,Gamer,prix
CK-550-GKTM1,https://spacenet.tn/clavier-gamer/57300-clavier-gamer-mecanique-cooler-master-ck550-v2-brown-switches-noir.html,Clavier Gamer Mécanique Cooler Master CK550 V2 Brown Switches - Noir,,https://spacenet.tn/144096-home_default/clavier-gamer-mecanique-cooler-master-ck550-v2-brown-switches-noir.jpg,SpaceNet,,,,,,,,,,Oui,"149,000 DT"
82LX00CFFG,https://spacenet.tn/pc-portable-tunisie/81195-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD,IdeaPad 1,https://spacenet.tn/243251-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"709,000 DT"
82LX00CKFG,https://spacenet.tn/pc-portable-tunisie/81186-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD,IdeaPad 1,https://spacenet.tn/243240-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel® Celeron® N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"709,000 DT"
82QY00PEFE,https://spacenet.tn/pc-portable-tunisie/78603-pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd.html,Pc Portable Lenovo V15 G2 IJL Intel Celeron N4500 8Go 256Go SSD,V15 G2 IJL,https://spacenet.tn/229972-home_default/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"ntel Celeron N4500 (Up to 2.8 Ghz , 4 Mo de mémoire cache , 2 Coeurs)",8 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"719,000 DT"
A30XQEA,https://spacenet.tn/pc-portable-tunisie/79478-pc-portable-hp-15-fd0298nk-intel-celeron-n100-4go-256go-ssd.html,PC Portable HP 15-fd0298nk Intel Celeron N100 4Go 256Go SSD,15-fd0298nk,https://spacenet.tn/235037-home_default/pc-portable-hp-15-fd0298nk-intel-celeron-n100-4go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N100 (up to 3.4 GHz with Intel® Turbo Boost Technology, 6 Mo de mémoire cache, 4 cores, 4 threads)",4 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"719,000 DT"
X515KA-EJ008,https://spacenet.tn/pc-portable-asus/80288-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4go-256go-ssd.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 4Go 256Go SSD,X515ka,https://spacenet.tn/239242-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",4 Go,256 Go SSD,SSD,Intel UHD,Free Dos,Non,"719,000 DT"
82LX00CDFG,https://spacenet.tn/pc-portable-tunisie/81565-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD Windows 11,IdeaPad 1,https://spacenet.tn/245188-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Windows 11,Non,"735,000 DT"
82LX00CEFG,https://spacenet.tn/pc-portable-tunisie/81561-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD Windows 11,IdeaPad 1,https://spacenet.tn/245200-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Windows 11,Non,"735,000 DT"
MAXBOOK-X15PRO,https://spacenet.tn/pc-portable-tunisie/89688-pc-portable-bmax-maxbook-x15-pro-intel-n95-12gen-16go-512go-ssd-windows-11.html,Pc Portable Bmax MaxBook X15 Pro Intel N95 12Gén 16Go 512Go SSD Windows 11,MaxBook X15 Pro,https://spacenet.tn/291458-home_default/pc-portable-bmax-maxbook-x15-pro-intel-n95-12gen-16go-512go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel N95,"Intel N95(3.40 GHz ,6 Mo Intel Smart Cache, 4 Cores)",16 Go,512 Go SSD,SSD,Intel UHD,Windows 11,Non,"739,000 DT"
X515KA-EJ008-8,https://spacenet.tn/pc-portable-asus/80988-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-8go-256go-ssd.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 8Go 256Go SSD,X515ka,https://spacenet.tn/242229-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",8 Go,256 Go SSD,SSD,Intel UHD,Free Dos,Non,"739,000 DT"
AB1T8EA,https://spacenet.tn/pc-portable-tunisie/79501-pc-portable-hp-15-fd0297nk-intel-celeron-n100-8go-256go-ssd.html,PC Portable HP 15-fd0297nk Intel Celeron N100 8Go 256Go SSD,15-fd0297nk,https://spacenet.tn/235051-home_default/pc-portable-hp-15-fd0297nk-intel-celeron-n100-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N100 (up to 3.4 GHz with Intel® Turbo Boost Technology, 6 Mo de mémoire cache, 4 cores, 4 threads)",8 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"749,000 DT"
N14I310-8BK256,https://spacenet.tn/ordinateur-portable/67688-pc-portable-thomson-n14i310-i3-10gen-8go-256go-ssd-noir.html,Pc Portable Thomson N14I310 i3 10Gén 8Go 256Go SSD Noir,N14I310,https://spacenet.tn/182208-home_default/pc-portable-thomson-n14i310-i3-10gen-8go-256go-ssd-noir.jpg,SpaceNet,14.1 Pouces,,Intel Core i3,"Intel Core i3-10110U ( jusqu'à 4,10 GHz, 4 Mo de mémoire cache)",8 Go,256 Go SSD,SSD,Intel HD,Windows 11,Non,"759,000 DT"
886L4EA,https://spacenet.tn/pc-portable-tunisie/68067-pc-portable-hp-15-fd0029nk-intel-celeron-n100-4go-256go-ssd-silver-bleu.html,Pc Portable HP 15-fd0029nk Intel Celeron N100 4Go 256Go SSD Silver & Bleu,15-fd0029nk,https://spacenet.tn/183904-home_default/pc-portable-hp-15-fd0029nk-intel-celeron-n100-4go-256go-ssd-silver-bleu.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core)",4 Go,256 Go SSD,SSD,Intel UHD,Windows 11,Non,"759,000 DT"
82LX00CKFG-W11,https://spacenet.tn/pc-portable-tunisie/82890-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD Windows 11,IdeaPad 1,https://spacenet.tn/251037-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel® Celeron® N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Windows 11 Pro,Non,"769,000 DT"
82LX00CFFG-W11,https://spacenet.tn/pc-portable-tunisie/82891-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD Windows 11,IdeaPad 1,https://spacenet.tn/251044-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Windows 11 Pro,Non,"769,000 DT"
X515KA-EJ008-16,https://spacenet.tn/pc-portable-asus/80990-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-16go-256go-ssd-windows-11.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 16Go 256Go SSD,X515ka,https://spacenet.tn/242244-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-16go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",16 Go,256 Go SSD,SSD,Intel UHD,Free Dos,Non,"779,000 DT"
X515KA-EJ008W11PRO,https://spacenet.tn/pc-portable-asus/80883-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4go-256go-ssd-windows-11-pro.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 4Go 256Go SSD Windows 11 Pro,X515ka,https://spacenet.tn/241817-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4go-256go-ssd-windows-11-pro.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",4 Go,256 Go SSD,SSD,Intel UHD,Windows 11 Pro,Non,"779,000 DT"
A30XQEA-W11,https://spacenet.tn/pc-portable-tunisie/79697-pc-portable-hp-15-fd0298nk-intel-celeron-n100-4go-256go-ssd-windows-11.html,PC Portable HP 15-fd0298nk Intel Celeron N100 4Go 256Go SSD Windows 11,15-fd0298nk,https://spacenet.tn/236334-home_default/pc-portable-hp-15-fd0298nk-intel-celeron-n100-4go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N100 (up to 3.4 GHz with Intel® Turbo Boost Technology, 6 Mo de mémoire cache, 4 cores, 4 threads)",4 Go,256 Go SSD,,Intel UHD,Windows 11 Pro,Non,"779,000 DT"
82QY00PEFE-W11,https://spacenet.tn/pc-portable-tunisie/82617-pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo V15 G2 IJL Intel Celeron N4500 8Go 256Go SSD Windows 11,V15 G2 IJL,https://spacenet.tn/249791-home_default/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"ntel Celeron N4500 (Up to 2.8 Ghz , 4 Mo de mémoire cache , 2 Coeurs)",8 Go,256 Go SSD,,Intel UHD,Windows 11 Pro,Non,"789,000 DT"
82LX00CEFG-W11,https://spacenet.tn/pc-portable-tunisie/82757-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD Windows 11,IdeaPad 1,https://spacenet.tn/250455-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Windows 11 Pro,Non,"795,000 DT"
CK-550-GKTM1,https://spacenet.tn/clavier-gamer/57300-clavier-gamer-mecanique-cooler-master-ck550-v2-brown-switches-noir.html,Clavier Gamer Mécanique Cooler Master CK550 V2 Brown Switches - Noir,,https://spacenet.tn/144096-home_default/clavier-gamer-mecanique-cooler-master-ck550-v2-brown-switches-noir.jpg,SpaceNet,,,,,,,,,,Oui,"149,000 DT"
82LX00CFFG,https://spacenet.tn/pc-portable-tunisie/81195-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD,IdeaPad 1,https://spacenet.tn/243251-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"709,000 DT"
82LX00CKFG,https://spacenet.tn/pc-portable-tunisie/81186-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD,IdeaPad 1,https://spacenet.tn/243240-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel® Celeron® N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"709,000 DT"
82QY00PEFE,https://spacenet.tn/pc-portable-tunisie/78603-pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd.html,Pc Portable Lenovo V15 G2 IJL Intel Celeron N4500 8Go 256Go SSD,V15 G2 IJL,https://spacenet.tn/229972-home_default/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"ntel Celeron N4500 (Up to 2.8 Ghz , 4 Mo de mémoire cache , 2 Coeurs)",8 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"719,000 DT"
A30XQEA,https://spacenet.tn/pc-portable-tunisie/79478-pc-portable-hp-15-fd0298nk-intel-celeron-n100-4go-256go-ssd.html,PC Portable HP 15-fd0298nk Intel Celeron N100 4Go 256Go SSD,15-fd0298nk,https://spacenet.tn/235037-home_default/pc-portable-hp-15-fd0298nk-intel-celeron-n100-4go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N100 (up to 3.4 GHz with Intel® Turbo Boost Technology, 6 Mo de mémoire cache, 4 cores, 4 threads)",4 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"719,000 DT"
X515KA-EJ008,https://spacenet.tn/pc-portable-asus/80288-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4go-256go-ssd.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 4Go 256Go SSD,X515ka,https://spacenet.tn/239242-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",4 Go,256 Go SSD,SSD,Intel UHD,Free Dos,Non,"719,000 DT"
82LX00CDFG,https://spacenet.tn/pc-portable-tunisie/81565-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD Windows 11,IdeaPad 1,https://spacenet.tn/245188-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Windows 11,Non,"735,000 DT"
82LX00CEFG,https://spacenet.tn/pc-portable-tunisie/81561-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD Windows 11,IdeaPad 1,https://spacenet.tn/245200-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Windows 11,Non,"735,000 DT"
MAXBOOK-X15PRO,https://spacenet.tn/pc-portable-tunisie/89688-pc-portable-bmax-maxbook-x15-pro-intel-n95-12gen-16go-512go-ssd-windows-11.html,Pc Portable Bmax MaxBook X15 Pro Intel N95 12Gén 16Go 512Go SSD Windows 11,MaxBook X15 Pro,https://spacenet.tn/291458-home_default/pc-portable-bmax-maxbook-x15-pro-intel-n95-12gen-16go-512go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel N95,"Intel N95(3.40 GHz ,6 Mo Intel Smart Cache, 4 Cores)",16 Go,512 Go SSD,SSD,Intel UHD,Windows 11,Non,"739,000 DT"
X515KA-EJ008-8,https://spacenet.tn/pc-portable-asus/80988-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-8go-256go-ssd.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 8Go 256Go SSD,X515ka,https://spacenet.tn/242229-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",8 Go,256 Go SSD,SSD,Intel UHD,Free Dos,Non,"739,000 DT"
AB1T8EA,https://spacenet.tn/pc-portable-tunisie/79501-pc-portable-hp-15-fd0297nk-intel-celeron-n100-8go-256go-ssd.html,PC Portable HP 15-fd0297nk Intel Celeron N100 8Go 256Go SSD,15-fd0297nk,https://spacenet.tn/235051-home_default/pc-portable-hp-15-fd0297nk-intel-celeron-n100-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N100 (up to 3.4 GHz with Intel® Turbo Boost Technology, 6 Mo de mémoire cache, 4 cores, 4 threads)",8 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"749,000 DT"
N14I310-8BK256,https://spacenet.tn/ordinateur-portable/67688-pc-portable-thomson-n14i310-i3-10gen-8go-256go-ssd-noir.html,Pc Portable Thomson N14I310 i3 10Gén 8Go 256Go SSD Noir,N14I310,https://spacenet.tn/182208-home_default/pc-portable-thomson-n14i310-i3-10gen-8go-256go-ssd-noir.jpg,SpaceNet,14.1 Pouces,,Intel Core i3,"Intel Core i3-10110U ( jusqu'à 4,10 GHz, 4 Mo de mémoire cache)",8 Go,256 Go SSD,SSD,Intel HD,Windows 11,Non,"759,000 DT"
886L4EA,https://spacenet.tn/pc-portable-tunisie/68067-pc-portable-hp-15-fd0029nk-intel-celeron-n100-4go-256go-ssd-silver-bleu.html,Pc Portable HP 15-fd0029nk Intel Celeron N100 4Go 256Go SSD Silver & Bleu,15-fd0029nk,https://spacenet.tn/183904-home_default/pc-portable-hp-15-fd0029nk-intel-celeron-n100-4go-256go-ssd-silver-bleu.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core)",4 Go,256 Go SSD,SSD,Intel UHD,Windows 11,Non,"759,000 DT"
82LX00CKFG-W11,https://spacenet.tn/pc-portable-tunisie/82890-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD Windows 11,IdeaPad 1,https://spacenet.tn/251037-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel® Celeron® N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Windows 11 Pro,Non,"769,000 DT"
82LX00CFFG-W11,https://spacenet.tn/pc-portable-tunisie/82891-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD Windows 11,IdeaPad 1,https://spacenet.tn/251044-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Windows 11 Pro,Non,"769,000 DT"
X515KA-EJ008-16,https://spacenet.tn/pc-portable-asus/80990-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-16go-256go-ssd-windows-11.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 16Go 256Go SSD,X515ka,https://spacenet.tn/242244-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-16go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",16 Go,256 Go SSD,SSD,Intel UHD,Free Dos,Non,"779,000 DT"
X515KA-EJ008W11PRO,https://spacenet.tn/pc-portable-asus/80883-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4go-256go-ssd-windows-11-pro.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 4Go 256Go SSD Windows 11 Pro,X515ka,https://spacenet.tn/241817-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4go-256go-ssd-windows-11-pro.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",4 Go,256 Go SSD,SSD,Intel UHD,Windows 11 Pro,Non,"779,000 DT"
A30XQEA-W11,https://spacenet.tn/pc-portable-tunisie/79697-pc-portable-hp-15-fd0298nk-intel-celeron-n100-4go-256go-ssd-windows-11.html,PC Portable HP 15-fd0298nk Intel Celeron N100 4Go 256Go SSD Windows 11,15-fd0298nk,https://spacenet.tn/236334-home_default/pc-portable-hp-15-fd0298nk-intel-celeron-n100-4go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N100 (up to 3.4 GHz with Intel® Turbo Boost Technology, 6 Mo de mémoire cache, 4 cores, 4 threads)",4 Go,256 Go SSD,,Intel UHD,Windows 11 Pro,Non,"779,000 DT"
82QY00PEFE-W11,https://spacenet.tn/pc-portable-tunisie/82617-pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo V15 G2 IJL Intel Celeron N4500 8Go 256Go SSD Windows 11,V15 G2 IJL,https://spacenet.tn/249791-home_default/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"ntel Celeron N4500 (Up to 2.8 Ghz , 4 Mo de mémoire cache , 2 Coeurs)",8 Go,256 Go SSD,,Intel UHD,Windows 11 Pro,Non,"789,000 DT"
X515KA-EJ008W11PRO-8,https://spacenet.tn/pc-portable-asus/80991-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-8go-256go-ssd-windows-11-pro.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 8Go 256Go SSD Windows 11 Pro,X515ka,https://spacenet.tn/242249-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-8go-256go-ssd-windows-11-pro.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",8 Go,256 Go SSD,SSD,Intel UHD,Windows 11 Pro,Non,"799,000 DT"
X515KA-EJ008W11-PRO-16,https://spacenet.tn/pc-portable-asus/80992-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-16go-256go-ssd-windows-11-pro.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 16Go 256Go SSD Windows 11 Pro,X515ka,https://spacenet.tn/242254-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-16go-256go-ssd-windows-11-pro.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",16 Go,256 Go SSD,SSD,Intel UHD,Windows 11 Pro,Non,"839,000 DT"
82VG00MHFG,https://spacenet.tn/pc-portable-tunisie/71731-pc-portable-lenovo-ideapad-1-15amn7-amd-ryzen-3-8go-256go-ssd-gris.html,Pc Portable Lenovo Ideapad 1 15AMN7 AMD Ryzen 3 8Go 256Go SSD Gris,IdeaPad 1,https://spacenet.tn/198385-home_default/pc-portable-lenovo-ideapad-1-15amn7-amd-ryzen-3-8go-256go-ssd-gris.jpg,SpaceNet,15.6 Pouces,,AMD Ryzen 3,"AMD Ryzen 3 7320U (2.4 GHz jusqu’à 4.1 GHz, 4 Mo de mémoire cache, 4C)",8 Go,256 Go SSD,SSD,AMD Radeon,Windows 11,Non,"979,000 DT"
82VG00Q5FG,https://spacenet.tn/pc-portable-tunisie/78629-pc-portable-lenovo-ideapad1-15amn7-amd-ryzen-3-8go-512go-ssd.html,Pc Portable Lenovo IdeaPad1 15AMN7 AMD Ryzen 3 8Go 512Go SSD,IdeaPad 1,https://spacenet.tn/230141-home_default/pc-portable-lenovo-ideapad1-15amn7-amd-ryzen-3-8go-512go-ssd.jpg,SpaceNet,15.6 Pouces,,AMD Ryzen 3,"AMD Ryzen 3-7320U (Up to 4.1 GHz Turbo max, 4 Mo de mémoire cache, Quad-Core)",8 Go,512 Go SSD,,AMD Radeon,Free Dos,Non,"1 009,000 DT"
N3001PVNB3520EMEA0,https://spacenet.tn/pc-portable-tunisie/82309-pc-portable-dell-vostro-3520-i3-12gen-8go-512go-ssd-ubuntu.html,Pc Portable Dell Vostro 3520 i3 12Gén 8Go 512Go SSD Ubuntu,Vostro 3520,https://spacenet.tn/248637-home_default/pc-portable-dell-vostro-3520-i3-12gen-8go-512go-ssd-ubuntu.jpg,SpaceNet,15.6 Pouces,,Intel Core i3,Intel Core i3-1215U,8 Go,512 Go SSD,,Intel UHD,Ubuntu,Non,"1 039,000 DT"
